actor_name,no_of_fb_likes,total_profit,total_imdb_score
Daniel Bernhardt,198.0,1.8766165266666666,7.2
John Amos,982.0,7.071831997460317,5.9399999999999995
Derek Jacobi,520.0,1.982888673026316,6.8375
Earl Cameron,189.0,7.066666666666666,7.0
Heather Langenkamp,449.0,6.107658534722222,6.5
Yaphet Kotto,581.0,3.183768947316772,7.083333333333333
David Richmond-Peck,60.0,0.12558316666666666,6.3
John Light,46.0,0.0,7.0
Ronn Moss,177.0,0.0,3.5
Ewen Bremner,557.0,1.1200512673206964,7.125
Danny Rhodes,77.0,1.0562572631578948,7.6
Clayne Crawford,298.0,0.1119706375,6.75
Katrina Law,835.0,0.0,3.1
Billie Whitelaw,108.0,0.9841160833333333,7.7
Emmanuelle Bercot,20.0,0.0,5.4
Dick Cheney,21.0,0.7150925,8.3
Omar Sy,1000.0,1.6923620009876543,6.933333333333333
Nicole de Boer,319.0,0.6701643835616439,7.4
Monica Potter,878.0,7.047532436071428,6.6625000000000005
Loretta Devine,912.0,2.618066850758765,6.100000000000001
Suzi Lorraine,184.0,0.0,3.3
Joe Cornish,115.0,2.95234825,7.9
Alexandre Rodrigues,40.0,2.291938484848485,8.7
Chloë Grace Moretz,17000.0,1.838019377386664,6.341176470588237
Helen Hayes,164.0,0.0,6.6
Hanne Aagesen,0.0,0.0,8.1
Henry Thomas,861.0,9.013864476350877,6.62
Diljit Dosanjh,32.0,0.0,6.6
Maribel Verdú,269.0,4.7990329907407405,7.949999999999999
Mike Block,0.0,0.0,7.5
Darren E. Burrows,121.0,0.0,6.0
Chris Klein,841.0,0.7079242277121375,5.228571428571429
Red Skelton,226.0,0.0,6.5
Jan Decleir,25.0,0.15853622222222222,7.8
Judith Barsi,912.0,2.375083687826087,5.05
Raphael Barker,37.0,0.992189,6.5
Claire Gordon-Harper,416.0,0.0,3.6
Kelly Brook,859.0,1.0417946666666666,5.5
Brigitte Nielsen,312.0,0.0,5.0
Julia Duffy,210.0,0.5849365,6.3
Steve-O,362.0,6.238264316666666,6.933333333333333
Tawny Kitaen,194.0,3.6846865,5.7
Fred Ward,459.0,1.825161082299218,6.400000000000001
Michael Welch,611.0,0.0,5.85
Marisol Nichols,633.0,1.7540913,4.6
Emily Watson,876.0,0.6922653519304137,7.2666666666666675
Scott Reeves,65.0,2.8687952,4.5
Laura San Giacomo,531.0,20.618083333333335,7.2
Michael Higgenbottom,16.0,12.141205,6.4
Leonard Roberts,962.0,3.341934697959184,6.8
Danielle Darrieux,106.0,0.6086853424657535,8.0
Scott Baio,650.0,0.4554661,1.9
Amber Stevens West,584.0,2.28377988,6.55
Deborah Kara Unger,494.42857142857144,1.6994424990225563,6.5
Fred Gwynne,886.0,5.361148063516132,6.875
Gage Golightly,253.0,0.0,3.7
Nick Wechsler,666.0,0.0,7.1
Bruce Davison,505.0,1.1239530885215177,6.5600000000000005
Donald Rumsfeld,17.0,0.7150925,8.3
James McCaffrey,235.0,1.1800814814814815,6.4
Mimi Rogers,291.5,1.177852543859649,4.95
Jelena Jovanova,306.0,0.02317730769230769,4.3
Penn Jillette,243.0,0.75634035,7.3
Jean Arthur,319.0,0.0,8.1
Dexter Fletcher,452.0,0.9780303483333335,7.12
Cem Yilmaz,523.0,0.1862457777777778,7.1
Akira Terao,4.0,0.004105546218487395,7.5
David Backus,43.0,0.10481637037037037,2.4
Kate Higgins,35.0,0.0,6.0
Ricky Catter,113.0,0.474602,6.4
Mark Feuerstein,417.0,0.313653125,6.0
Steve Burg,0.0,5.1982692,7.7
Noah Taylor,509.0,1.7740704640699796,7.183333333333334
Nia Vardalos,567.0,10.794569376078432,6.18
Quynn Ton,0.0,10.010142857142856,6.3
Vernon Wells,745.0,1.5005018333333335,5.766666666666667
Ava Gardner,715.0,0.0,6.9
Peter Krause,576.0,2.0933893333333335,8.1
Dana Hanna,36.0,12.8923628,6.7
Kendrick Cross,529.0,0.06660183333333333,5.7
Demi Moore,2000.0,1.7120962516152596,6.13125
Ben Mendelsohn,748.0,0.7669506093928572,6.42
Khaira Arby,0.0,0.0,7.7
Jacob Latimore,129.0,3.012164882352941,6.8
Ken Howard,649.0,1.1092423939393938,6.766666666666666
Deirdre Lorenz,350.0,0.0,4.2
Mitch Pileggi,826.0,0.7112227474747476,6.2
Aidan Turner,5000.0,1.0928608355555556,7.325
David Clennon,145.0,0.5694279333333333,7.5
Tim DeKay,436.0,0.056424317647058825,7.15
Brian Whitaker,8.0,0.10024,6.8
Maurice LaMarche,523.0,1.7292116,6.8
Hiroshi Abe,43.0,0.01003739,6.0
Katherine Waterston,178.0,0.20233295,6.65
Tyler James Williams,931.0,0.6242698,5.199999999999999
Jamel Debbouze,326.0,0.2155952012987013,6.65
Edgar Tancangco,0.0,10.010142857142856,6.3
Xander Berkeley,485.0,1.1906945873593073,6.528571428571429
Scott Thompson,183.0,0.0,8.6
Anders Holm,365.0,0.06937698863636364,7.05
Dominic Colón,41.0,0.0,6.9
Lindsey Haun,249.0,0.0,5.0
Yuriy Tsurilo,4.0,0.0,6.7
June Diane Raphael,249.0,0.29182894285714284,5.4
Mandy Gonzalez,81.0,0.44287883333333333,6.6
Melora Walters,188.0,0.0,7.4
Method Man,362.0,0.8102975666666666,4.85
Michaela Watkins,216.0,2.1920985,7.1
Debrianna Mansini,175.0,5.637491142857143,7.3
Olivia d'Abo,476.0,0.7333333333333333,5.4
Jay R. Ferguson,204.0,1.2171326630769232,6.3
Arly Jover,258.0,0.0,4.2
Kyla Wise,108.0,0.0,6.8
Arik Ascherman,0.0,0.0,8.3
Geoff Stults,756.0,0.3257193238402457,5.4399999999999995
Allison Dean,159.0,1.25179625,7.2
Catherine Bell,636.0,0.0,5.8
Liane Balaban,118.0,0.0021405,6.1
Bill Bailey,175.0,1.8903948392857144,7.0
Chris Cleveland,42.0,0.0,6.3
Jeff Bridges,12000.0,1.1667521641294518,6.770833333333332
Charlie McDermott,496.0,1.9518318749999999,6.800000000000001
Seth Gabel,574.0,1.740289104,6.6
Kevin McHale,748.0,1.317871,5.4
Melissa Sturm,18.0,1.5358149615384615,6.5
Swoosie Kurtz,418.0,2.408218595396826,6.949999999999999
Tom Everett,84.0,18.11111111111111,5.9
Devin Ratray,1000.0,4.618487881798548,6.866666666666666
Billy Burke,2000.0,1.7876594861732977,6.355555555555556
Synnøve Macody Lund,52.0,0.03949676567656766,7.6
Omri Katz,336.0,1.41123975,6.7
Lydia Wilson,105.0,0.7052358162162162,7.5
Elodie Yung,934.0,0.5824183214285714,5.65
Josie Ho,76.5,0.24354648333333334,5.5
Basher Savage,23.0,2.74084951,7.8
Chris Penn,455.0,3.4152051123240814,6.377777777777777
Ximena Ayala,31.0,0.008675384615384616,7.0
Mary Norwood,221.0,0.0,6.6
Luke Perry,608.0,0.0,5.466666666666668
Shiree Nelson,279.0,0.0,5.0
Mary Lynn Rajskub,934.375,2.3895871730347507,6.2749999999999995
Robert J. Wilke,53.0,0.0,7.2
Rene Russo,808.0,2.297643159847952,6.7625
Julia Sawalha,206.0,2.373198111111111,7.0
Linda Harrison,220.0,0.0,6.1
Gary Oldman,10000.0,1.096282537699106,6.51304347826087
Brock Baker,297.0,0.0,7.1
James Mason,617.3333333333334,0.5625,7.383333333333334
Shenae Grimes-Beech,686.5,0.47721115,6.15
Miranda Otto,567.8,0.6330642694487179,6.4
Collins Pennie,458.0,2.19090795,3.9
Archie Panjabi,883.1666666666666,2.65451961987107,6.8
Jennifer Schwalbach Smith,92.0,1.310531875,6.6
James Lance,161.0,0.0,7.1
Seth MacFarlane,3000.0,1.7991244410784315,6.16
Eileen Brennan,1000.0,10.205585951767677,6.375
Mara Wilson,1000.0,3.2984700620300753,5.3
Zackary Steven Graham,118.0,13.3399796,5.1
Magda Apanowicz,389.0,1.1977783333333334,5.4
Trevor Howard,98.0,0.0,6.8
Richard Schiff,506.0,0.8377321513945655,6.1125
Yassie Hawkes,317.0,0.0,5.7
Scott A. Martin,414.0,0.18070563636363637,6.7
Burt Ward,356.0,0.0,6.5
Gina Holden,346.0,1.4824882633333332,5.8999999999999995
Alan Van Sprang,147.0,0.8169888843137255,7.45
Ane Dahl Torp,13.0,0.05213625,6.4
Magi Avila,92.0,0.0,3.9
Emma Eliza Regan,0.0,0.0,6.7
Sid Caesar,898.0,7.030439716312057,7.06
Christopher Toler,23.0,0.0,7.1
Kang-ho Song,398.0,0.043144205221911945,7.1000000000000005
Ryan Donowho,181.0,0.10579938333333333,6.966666666666666
Gloria Votsis,209.0,0.0,4.8
David Denman,332.0,3.240817875,5.2
Tonya Lee Williams,175.0,5.123191,5.3
Alice Greczyn,630.6666666666666,1.2993029006477734,5.3
Rich Pecci,1000.0,0.0,6.5
Hettienne Park,148.0,0.0,8.6
Travis Betz,29.0,0.0,6.5
Fionnula Flanagan,482.0,3.8127057771677557,7.040000000000001
Mare Winningham,482.0,3.1423099166666666,7.6
Kylie Minogue,690.25,0.6042952720238095,5.324999999999999
Josh Charles,1000.0,1.6228928801893792,6.583333333333333
Taylor Negron,1000.0,0.15451154166666667,4.3
