director_name,no_of_fb_likes,total_profit,total_imdb_score
Michael Lehmann,36.0,0.8259081512605041,5.633333333333333
Tyler Perry,0.0,2.9533572199430203,4.9
Anne Fontaine,105.0,0.16711743880275348,6.45
Gnana Rajasekaran,0.0,0.0,7.0
Stig Bergqvist,0.0,2.5500479333333335,6.1
Pece Dingo,0.0,0.0,4.5
Bob Rafelson,30.0,0.024438363636363637,6.35
Leonard Nimoy,12000.0,8.04515249083779,6.599999999999999
Gia Coppola,71.0,0.0,6.3
Michael Mann,0.0,0.8985543415212994,7.083333333333333
Alan Metter,3.0,0.02036241935483871,3.3
Kyle Balda,22.0,4.54094,6.4
Joel Anderson,0.0,0.0,6.1
Kevin Macdonald,162.0,0.9781033888888889,7.633333333333333
Camille Delamarre,11.0,0.6827987128571429,5.4
John Cornell,5.0,6.918114556962025,5.5
Nick Gomez,22.0,0.9641995,5.6
Mike Leigh,608.0,0.3554494853362897,7.359999999999999
George Armitage,5.0,0.9985318066666666,6.15
Dan O'Bannon,228.0,0.0,7.3
Britt Allcroft,2.0,0.8374385789473684,3.6
Blaz Zavrsnik,0.0,0.0,6.4
Liv Ullmann,440.0,0.0,5.6
David Zucker,119.0,1.9562119812801928,5.26
Feroz Abbas Khan,0.0,0.0,7.4
Franck Khalfoun,33.0,0.0021405,6.1
Christopher Hutson,3.0,0.0,3.1
Nick Murphy,58.0,0.0,6.5
Moustapha Akkad,278.0,0.0,8.4
Charlie Levi,0.0,0.0,6.1
Caryn Waechter,0.0,0.0,6.3
Jake Scott,26.0,0.0,7.0
Mike Bigelow,2.0,1.0120221363636364,4.6
Matt Johnson,8.0,0.0,6.7
Dito Montiel,68.0,0.0019246666666666668,5.1
Brandon Camp,7.0,1.2737438888888888,5.6
Jonathan Frakes,906.0,1.1986619952115036,5.8500000000000005
Jim Issa,5.0,0.0,5.2
Hugh Johnson,3.0,0.3302335294117647,5.2
Sarik Andreasyan,9.0,0.0,5.2
Giovanni Zelko,4.0,0.0,7.6
Steve Bendelack,68.0,1.3021284,6.3
John Wells,53.0,1.09603645,6.949999999999999
Richard Attenborough,0.0,0.8329809483361467,7.6
Wes Craven,0.0,4.243816423862942,6.0
Mark Illsley,3.0,1.1433229411764705,6.3
Andy Garcia,0.0,0.2587453125,6.7
Michael Sucsy,23.0,4.167134333333333,6.8
Colin Trevorrow,365.0,4.84578557,7.0
Sally Potter,87.0,0.396035,6.9
Drew Goddard,246.0,1.4014544333333334,7.0
Dominique Othenin-Girard,2.0,3.8807513333333334,5.2
John Blanchard,0.0,0.0,9.5
Peter Hastings,0.0,0.4853998857142857,4.0
Kimble Rendall,0.0,0.0,5.2
Brandon Cronenberg,43.0,0.0,5.7
John Stainton,0.0,2.1845532307692306,5.4
Douglas Trumbull,136.0,0.0,6.7
John Singleton,309.0,2.7147706494146857,6.257142857142857
Peter Hyams,0.0,0.6687961381184282,5.483333333333333
Sara Sugarman,10.0,1.9534731333333333,4.6
Brett Leonard,32.0,2.00585,5.45
David Frankel,64.0,2.0608086284698026,6.6000000000000005
Noam Murro,263.0,0.9669919727272728,6.2
Joe Camp,24.0,79.1052,6.1
Gareth Edwards,380.0,0.474602,6.4
Nelson McCormick,29.0,1.095453975,4.75
Gurinder Chadha,98.0,3.413407642223723,6.1000000000000005
Shinji Aramaki,21.0,0.0,6.5
Glenn Ficarra,43.0,0.9720894208516301,6.866666666666667
John Lafia,5.0,2.192431153846154,5.7
Adam Carolla,102.0,0.07062866666666667,6.1
Dan Cutforth,4.0,2.103415666666667,5.9
Leon Ichaso,5.0,1.8272447,5.9
Barry Levinson,272.0,2.179070845622988,6.576923076923076
Phil Joanou,21.0,0.64054705,5.800000000000001
Greg Coolidge,27.0,2.3696171666666666,5.5
Scott Speer,35.0,1.062343393939394,6.5
Justin Kerrigan,8.0,0.047389545454545455,7.1
Anna Boden,16.0,0.79375725,7.2
Keith Gordon,200.0,0.042057,5.6
Kathryn Bigelow,0.0,1.2637904455555555,7.233333333333334
Denys Arcand,66.0,0.572057,7.7
Matt Williams,18.0,2.2514116,6.8
Robert Duvall,3000.0,4.146697,7.2
James DeMonaco,65.0,12.435214703703705,6.1000000000000005
Dan Fogelman,102.0,0.5348317,7.1
Craig Zobel,25.0,1.1800814814814815,6.4
Jaco Booyens,37.0,0.0,6.9
Frederik Du Chau,7.0,0.283971975,5.7
Alan Jacobs,2.0,0.0,7.3
Vijay Chandar,0.0,0.0,5.1
Irwin Winkler,34.0,1.0523305204545454,6.449999999999999
Jeremy Degruson,0.0,0.0001203235294117647,6.3
Jonathan Kaplan,57.0,0.4045726,6.4
JK Youn,2.0,0.0,5.7
Geoff Murphy,14.0,0.8337347166666667,5.4
Stephen Langford,7.0,0.0,3.2
Bo Welch,34.0,0.9215311467889908,3.8
Scandar Copti,13.0,0.0,7.4
Matthew Bright,9.0,0.0,6.9
Renny Harlin,212.0,1.0692546325748027,5.746666666666666
Andrew Wilson,387.0,0.015893,5.5
Bob Gosse,10.0,0.0,5.3
R.J. Cutler,15.0,4.587394090909091,6.8
Jim Abrahams,104.0,23.82857142857143,7.8
Emile Ardolino,22.0,0.11157863157894737,5.7
Thomas Lilti,12.0,0.0,7.2
Jason Miller,0.0,0.0,7.6
Anthony C. Ferrante,48.0,0.0,3.3
Gary Nelson,20.0,0.0,5.9
Ruairi Robinson,7.0,0.0034054285714285714,5.5
Ruba Nadda,55.0,0.00101575,5.2
James Kerwin,0.0,0.0,5.4
John McTiernan,323.0,1.654861284684874,6.63
David Sington,90.0,0.5670245,8.1
Alison Maclean,7.0,0.5128336,7.0
Betty Thomas,84.0,1.5696452644284398,5.300000000000001
Analeine Cal y Mayor,4.0,0.0,6.2
Jonathan Parker,0.0,0.0,5.0
Will Finn,6.0,0.2878281564935065,5.5
Michael Winterbottom,187.0,0.15743357138932496,6.228571428571428
Kurt Voss,0.0,0.049113333333333335,6.1
Mark Herman,39.0,0.36122324,7.4
Yarrow Cheney,11.0,4.3134072,6.8
Khalil Sullins,5.0,0.0,5.6
Alex Rivera,8.0,0.0302908,5.9
Ol Parker,21.0,0.04248354430379747,7.050000000000001
Pierre Coffin,275.0,4.243854866037376,7.6
Costa-Gavras,333.0,0.10689350854368931,6.75
Pat Holden,6.0,0.0,5.4
Reed Cowan,0.0,0.0399404,7.1
Peter Cattaneo,11.0,5.328369297042607,6.68
Valeri Milev,6.0,0.0,5.1
Chan-wook Park,0.0,0.28966782674603175,7.633333333333333
Paolo Sorrentino,667.0,0.30824847826086954,7.7
Wajahat Rauf,3.0,0.0,7.0
Linda Mendoza,17.0,0.0,4.8
Alex Proyas,295.0,1.1526196771414772,6.82
Collin Joseph Neal,14.0,0.0,3.7
John Francis Daley,0.0,1.8993268387096773,6.1
Carroll Ballard,19.0,0.035833416666666666,7.35
Lori Silverbush,5.0,0.0,6.9
Carlos Carrera,12.0,3.172008888888889,6.8
Willard Huyck,8.0,0.4655935428571429,4.6
Eric Valette,2.0,0.4977135,3.9
Ivan Reitman,425.0,3.3184166487614473,6.075
Alfonso Cuarón,0.0,2.983613792277328,7.8
Angelina Jolie Pitt,11000.0,0.9083309365384615,6.0
Lloyd Bacon,24.0,5.239179954441913,7.7
Bigas Luna,163.0,0.0,6.8
Mike Mitchell,31.0,2.225310811614464,5.675
Curtis Hanson,161.0,1.0317186984525863,6.616666666666666
Benedek Fliegauf,28.0,0.0,6.4
Mike Disa,6.0,0.33782513333333336,4.8
John Bonito,8.0,0.9421657,4.7
Julian Schnabel,232.0,0.44878651515151513,7.45
Katja von Garnier,18.0,0.0,5.5
Anurag Basu,116.0,0.0026707766666666665,6.0
Alan J. Pakula,79.0,1.3689309096899225,6.3
Michael J. Bassett,83.0,0.87645785,5.0
Daniel Mellitz,0.0,0.0,4.7
Michael Haneke,0.0,0.09895105836454432,7.400000000000001
Don Hall,38.0,1.3484103696969696,7.9
Chris Koch,13.0,2.693232203846154,5.25
Spencer Susser,58.0,0.05470657142857143,7.1
Susanna White,24.0,0.4142207142857143,6.25
Robert Iscove,7.0,2.67711405,4.3999999999999995
Jodie Foster,0.0,0.8134599188712522,6.666666666666667
Lucio Fulci,385.0,0.3159675,6.9
Mike Binder,57.0,1.8214417833333332,7.0
Nick Cassavetes,415.0,1.4280912118773945,7.074999999999999
Morgan Spurlock,293.0,60.229293458119656,6.0
Rob Zombie,0.0,1.8257955580952383,5.5600000000000005
Brenda Chapman,59.0,1.44597,7.0
Robert Ben Garant,134.0,2.0339754,5.9
Raja Gosnell,67.0,2.248923387238456,4.916666666666666
Johnny Remo,74.0,0.096734,5.6
Zal Batmanglij,129.0,0.1744843076923077,6.800000000000001
Dave Borthwick,3.0,0.36914965,2.8
James Algar,11.0,11.421704093274855,7.5
Deon Taylor,26.0,0.0286,4.1
Mitchell Altieri,9.0,0.0,8.7
Stephen Milburn Anderson,0.0,0.006635857142857143,6.0
Tyler Oliver,0.0,0.0,5.2
John Sayles,407.0,0.8897150494222689,6.8500000000000005
Matthew O'Callaghan,5.0,1.1667313,6.6
Fritz Lang,756.0,0.004405833333333334,8.3
Craig Johnson,7.0,0.0,6.8
Kevin Reynolds,58.0,1.4721091861904763,6.68
Mike Cahill,135.0,6.58037,7.15
Joby Harold,8.0,1.671375,6.5
Marius A. Markevicius,6.0,0.267556,8.4
Robert Fontaine,7.0,0.0015857142857142858,7.2
Patricia Rozema,22.0,1.7655201,6.7
Mark Helfrich,7.0,1.40002516,5.6
Jason Moore,36.0,3.823433411764706,7.2
David LaChapelle,30.0,0.0,7.1
Dave McKean,21.0,0.21623975,6.9
David Lowery,38.0,0.0,7.3
Sterling Van Wagenen,0.0,0.311516,6.6
Katsuhiro Ôtomo,78.0,0.0002960666024895443,7.5
John Whitesell,14.0,1.2072428960714285,4.88
Sean Penn,0.0,0.8308588,7.5
David DeCoteau,142.0,0.0,3.0
John Frankenheimer,287.0,0.42704386796791444,6.139999999999999
David Fincher,21000.0,1.5352296009626416,7.749999999999998
John Carl Buechler,152.0,6.846428928571428,5.3
Zak Penn,87.0,0.02630714285714286,6.6
Eric Brevig,40.0,1.7560795638888886,5.199999999999999
Gary Halvorson,11.0,0.6843798823529412,5.8
Lynne Ramsay,159.0,0.12419228571428571,7.1
Brian Koppelman,34.0,0.1453516,6.25
David Dobkin,71.0,0.7718675971153846,6.65
Ari Folman,56.0,1.522184,8.0
Adrian Lyne,213.0,9.091298716386556,6.4
Gary Sherman,17.0,1.3442369523809523,4.5
Heidi Ewing,4.0,0.033558333333333336,6.4
Andrey Zvyagintsev,445.0,0.0,8.0
Fernando León de Aranoa,58.0,0.0366005,7.7
Uli Edel,34.0,0.3199973863636364,6.550000000000001
Peter Hedges,54.0,4.970709,6.85
Larry Charles,119.0,2.93661475960928,6.540000000000001
Larry Clark,184.0,2.4724033333333333,7.0
Sidney Lumet,0.0,0.6697834583333333,7.183333333333334
Peter Sohn,113.0,0.0,6.8
Caroline Link,11.0,0.8819264285714286,7.7
Brian Dorton,171.0,0.0,7.3
Ray Griggs,4.0,1.0647475,5.1
Laurent Bouhnik,0.0,0.0,5.6
Bill Condon,386.0,1.5364098029942281,6.383333333333333
Stephen J. Anderson,15.0,0.8895724,7.3
Lajos Koltai,45.0,7.83552e-05,7.1
Gideon Raff,47.0,0.0,4.8
Stephen Sommers,208.0,1.7188366000959356,6.075
John D. Hancock,44.0,0.0,6.6
Adam Goldberg,1000.0,0.0015636363636363636,5.4
Brian Gibson,13.0,0.5094853636363637,6.4
Stuart Baird,53.0,0.984332325,6.4
Brian Trenchard-Smith,53.0,0.09076537878787878,4.166666666666666
Stephen Carpenter,12.0,0.221475,3.9
Richard LaGravenese,98.0,0.9861327147619049,6.659999999999999
Jon Stewart,593.0,0.6186982,6.6
Tom DiCillo,32.0,0.0,5.8
Aaron Seltzer,64.0,2.4273289,2.7
Henry Hobson,9.0,0.01543235294117647,5.6
Ken Roht,0.0,0.0,7.0
Brett Piper,7.0,0.0,4.5
Jonathan Levine,129.0,1.6531672592261903,6.800000000000001
Fina Torres,26.0,0.62730625,5.3
Michael Patrick Jann,31.0,1.0561238,6.5
Jacques Perrin,63.0,0.27621188125,7.9
Kari Skogland,13.0,0.0,6.9
Mateo Gil,3.0,0.0,6.6
Vicky Jenson,96.0,0.42491286666666667,5.3
Jason Trost,91.0,0.0,4.0
John Lasseter,487.0,2.6944423905555555,7.38
Gregory Widen,10.0,2.01448475,6.6
Nadia Tass,20.0,0.0,7.2
Jeff Nichols,337.0,0.6777282638888888,7.2
Darren Lynn Bousman,163.0,7.22296654882353,6.56
Carmen Marron,29.0,0.07295469387755102,3.9
Michael McGowan,12.0,0.132521,7.6
José Padilha,294.0,0.3913850466666667,6.833333333333333
Steve Hickner,58.0,0.8439808066666666,6.2
Julie Taymor,278.0,0.8107786097222223,6.9
Klaus Menzel,34.0,0.0032132,3.3
Gaspar Noé,929.0,0.012941038461538462,7.35
Victor Fleming,149.0,19.293514084677373,7.766666666666666
Dennis Hopper,0.0,0.0,7.2
Darrell Roodt,36.0,0.0,6.0
Masayuki Ochiai,5.0,3.240817875,5.2
Neil Jordan,277.0,3.8647456984704966,6.762499999999999
Andrew Morahan,5.0,0.5319128461538462,4.3
Robert Rossen,31.0,0.0,8.0
David Anspaugh,25.0,0.0187737,6.2
Jon Wright,4.0,0.0,6.3
John R. Leonetti,40.0,7.080623715384615,4.550000000000001
David Hayter,512.0,0.0,5.3
David Slade,171.0,2.2390004335655314,6.2
William Wyler,355.0,11.261904761904763,8.1
Stanton Barrett,20.0,0.0,3.4
Andrucha Waddington,6.0,0.0,7.5
François Truffaut,0.0,0.016808125,7.2
Richard Kelly,219.0,0.3727300190631808,6.3999999999999995
Randall Miller,19.0,5.310794094117647,6.949999999999999
Henry Bean,21.0,0.27069,7.2
Justin Thomas Ostensen,0.0,0.0,4.5
Richard Shepard,47.0,0.43070368,6.633333333333333
Ciarán Foy,11.0,2.7736779,5.2
Patrick Gilmore,0.0,0.4381386666666667,6.7
Jesse Dylan,58.0,1.8873665883838384,6.033333333333332
Allen Coulter,47.0,1.191064,7.2
Jill Sprecher,11.0,0.36527055555555554,6.75
Marcus Nispel,158.0,0.0,4.6
Steve Martino,20.0,1.5064880431685275,6.9
Carl Franklin,73.0,0.8602925053968254,6.6000000000000005
Billy Kent,0.0,0.0,5.6
Baltasar Kormákur,175.0,1.5615983979135617,6.766666666666667
Andrés Muschietti,127.0,3.579411,6.2
Benh Zeitlin,188.0,7.102442777777778,7.3
John Ottman,83.0,1.5334862142857142,4.1
Irvin Kershner,883.0,8.83079863888889,7.5
Henry Selick,253.0,0.6633972633333334,6.2
Warren Beatty,631.0,0.6405272422222222,6.8
Craig Moss,19.0,0.0,2.6500000000000004
Greg Harrison,7.0,1.7526396666666666,6.0
Dennis Iliadis,29.0,2.1814423333333335,6.6
Rob Bowman,38.0,0.9131635701021847,6.05
Peter Faiman,4.0,19.844886363636363,6.5
Karen Moncrieff,22.0,0.232063,6.7
Nanette Burstein,8.0,0.556166125,6.3
Steve Pink,38.0,2.054390513809524,5.866666666666667
Elizabeth Banks,0.0,3.8984271235632186,5.4
Kurt Hale,0.0,2.362413,6.2
Majid Majidi,373.0,5.141122222222222,8.5
Brad Furman,65.0,0.8970948616666666,6.733333333333333
Joseph Kahn,33.0,0.264704025,4.9
Juan José Campanella,195.0,5.041856,7.449999999999999
Allison Anders,99.0,0.893346375,6.4
Tony Scott,12000.0,2.1402612399486207,6.791666666666667
Nick Tomnay,11.0,0.09686,6.8
Will Canon,8.0,0.0,5.3
Scott Foley,0.0,0.0,5.4
Jon Amiel,36.0,1.0350147712121212,6.200000000000001
Robert Hall,53.0,0.0,5.2
Abel Ferrara,220.0,0.09818592,6.6
Tom Schulman,45.0,1.1866633333333334,5.3
Harry Beaumont,4.0,7.408970976253298,6.3
Perry Lang,17.0,0.0,5.8
Danny Perez,0.0,0.0,6.3
Paul Greengrass,521.0,1.4423148358225109,7.585714285714287
Laurent Cantet,39.0,0.0,7.5
Alex van Warmerdam,53.0,0.0,7.0
Xavier Gens,87.0,0.8304901666666668,6.05
Ethan Coen,1000.0,2.016334206186579,7.114285714285714
Paul Donovan,4.0,0.0,4.3
Herb Freed,5.0,0.0,4.5
Tom Gormican,19.0,3.25613525,6.1
Justin Tipping,2.0,0.0,7.8
William Gazecki,3.0,0.0,7.1
Jake Schreier,14.0,1.9980469333333333,6.75
Joe Dante,287.0,5.263774248571429,6.3
Peter Chelsom,23.0,1.1338328424444444,5.78
David Schwimmer,0.0,0.0030638947368421053,6.8
Kirk De Micco,16.0,1.1000431313313312,5.9
Kate Connor,27.0,0.024559333333333332,5.9
Peter Farrelly,137.0,7.948459625,7.3
Kevin Lima,36.0,1.1449908,5.949999999999999
Todd Phillips,480.0,3.215835810387232,6.6571428571428575
Paul Bartel,43.0,0.0,6.2
Paul Weitz,80.0,2.431625639298859,6.016666666666666
Milos Forman,869.0,9.662074777583527,8.133333333333333
Fred Wolf,29.0,1.128831705,5.4
Quentin Dupieux,248.0,0.196034,5.8
Doug Block,0.0,0.0,7.5
Mike Mills,101.0,1.0681831875,6.9
Chris Columbus,0.0,4.111661182966894,6.654545454545455
Vladlen Barbe,0.0,0.0,5.3
Robert Stromberg,171.0,1.3411518222222223,7.0
Tom McLoughlin,41.0,6.490685666666667,5.9
Paul Fox,3.0,0.0,6.1
Sean Durkin,46.0,0.0,6.9
Sai Varadan,0.0,0.0,7.2
Rob Letterman,11.0,1.0686569186176107,6.050000000000001
Hans Petter Moland,19.0,0.009868923076923077,7.3
Roger Christian,64.0,0.4879928409090909,2.4
Al Franklin,0.0,0.0,4.3
Zach Cregger,138.0,0.7571291666666666,5.1
Eli Craig,27.0,0.0,7.6
Matthew Watts,0.0,0.0,6.8
Duncan Jones,0.0,1.00161076875,7.566666666666667
John Patrick Shanley,53.0,1.6711278,7.5
Allan Arkush,13.0,0.0,4.2
Michel Gondry,1000.0,1.7465316166666667,6.925
Robert Greenwald,21.0,0.0,7.25
Michael Winner,136.0,0.0,4.0
Chris Weitz,129.0,1.9977108659999998,6.08
Nadine Labaki,0.0,0.8158392307692308,7.2
Jean-Luc Godard,0.0,0.0,7.550000000000001
Newt Arnold,15.0,10.732835454545455,6.8
Colin Strause,25.0,1.5910345750000001,4.550000000000001
Lasse Hallström,529.0,1.4218521177970178,7.111111111111111
Matty Rich,10.0,3.013658888888889,6.2
Ben Affleck,0.0,2.7738926612511388,7.65
Tom Ford,192.0,1.309551857142857,7.6
Keith Parmer,2.0,0.0,4.6
Mitch Davis,7.0,0.3371693571428571,5.8
Paul Abascal,2.0,0.7856036,5.8
David Yates,282.0,1.1332133094444443,7.050000000000001
Andrew Traucki,10.0,0.0,5.8
Jay Alaimo,2.0,0.0,4.6
Dennis Dugan,221.0,1.9621302749027396,5.7333333333333325
Mic Rodgers,7.0,0.43463416666666665,4.1
Andrew Currie,8.0,0.03726375,6.8
Pete Jones,18.0,0.079894,6.5
Ted Demme,47.0,1.764571,7.6
Charles Stone III,30.0,1.7732924166666668,5.6
Jan de Bont,101.0,1.9216708880034326,5.52
Rachel Goldenberg,7.0,0.0,2.5
Errol Morris,239.0,0.0,7.5
Brad Anderson,122.0,1.5979020912820512,6.860000000000001
Joshua Tickell,9.0,0.0695132,7.6
Tony Giglio,6.0,0.0,5.3
Laurie Collyer,38.0,0.0992035,6.6
Christopher Cain,58.0,1.7687353111888113,6.3
Tom Seidman,3.0,0.0,6.2
James Gartner,0.0,0.0,7.2
Kevin Allen,8.0,0.46979060576923076,5.4
Rob Minkoff,50.0,0.7317836598933332,5.94
David Jacobson,12.0,0.071086875,6.5
Alan Shapiro,0.0,0.7852610654132394,5.2
Robert Towne,162.0,0.03109692,7.2
Robert Moresco,53.0,0.006685125,6.4
Michael Apted,150.0,0.5666978796956549,6.516666666666666
Clive Barker,385.0,14.564027,7.0
Jonathan Newman,3.0,0.00019024,5.4
Kenny Ortega,197.0,2.1682093815151515,5.7
Luis Llosa,49.0,1.365784111111111,5.0
Griffin Dunne,165.0,0.485533375,5.9
Paul Bunnell,5.0,0.001218,5.7
John Cameron Mitchell,263.0,0.6471325444444445,7.1000000000000005
Steve Trenbirth,0.0,2.39439715,5.4
Robert Schwentke,124.0,1.142508601138708,6.349999999999999
Siddharth Anand,5.0,0.1454405,5.4
Lisa Azuelos,15.0,0.0,4.3
Luke Greenfield,42.0,2.2699257810809774,6.0
Gene Quintano,0.0,3.412121951219512,6.1
Hilary Brougher,0.0,0.07278,6.3
Jason Alexander,700.0,0.013284,6.7
Robert Townsend,467.0,52.28617,7.0
Agnieszka Wojtowicz-Vosloo,0.0,0.02405088888888889,5.9
John Turturro,0.0,0.0,6.25
David S. Ward,42.0,4.527013454545455,7.2
Peter Lepeniotis,7.0,1.5294945238095239,5.8
Frank Miller,436.0,0.7979055162393163,6.466666666666666
Joseph Dorman,0.0,1.813332,6.8
Eric England,15.0,0.0,4.1
Mel Brooks,0.0,11.20889134454595,7.157142857142857
Andrew Adamson,80.0,1.9241359495555557,7.08
Oleg Stepchenko,0.0,0.0,5.4
Rupert Wyatt,81.0,1.5303115922580643,6.533333333333334
Todd Strauss-Schulson,12.0,1.843882052631579,6.3
Anthony Russo,94.0,1.1461559359215685,7.0
Catherine Gund,0.0,0.042398,6.8
Robert Mulligan,89.0,0.0,8.4
Allen Hughes,90.0,0.5626459428571429,6.2
James Wong,70.0,1.3963266908685794,5.275
Alec Asten,5.0,0.0,4.3
David Worth,58.0,0.0,6.9
Terry Zwigoff,72.0,2.1111788928571427,7.25
Frank Capra,964.0,0.0,8.059999999999999
Lijun Sun,0.0,0.0,3.2
Jon Hess,29.0,0.4,5.1
Matthew Robbins,25.0,0.3333333333333333,6.7
John Curran,43.0,0.24823341799437676,6.45
Edward Burns,0.0,103.26827754761905,6.424999999999999
Eric Bress,19.0,0.001842076923076923,7.7
Russ Meyer,199.0,10.0,6.2
P.J. Hogan,29.0,2.7566328695652174,6.3
Martha Coolidge,57.0,0.0,5.9
Jean-François Richet,25.0,0.99880365,6.3
Mark Dindal,10.0,0.6356150054166667,6.666666666666667
Juraj Jakubisko,15.0,0.0,6.0
Chris D'Arienzo,7.0,0.0,5.9
Emily Dell,0.0,0.0,4.0
Josh Boone,131.0,10.405736416666667,7.8
Rohit Jugraj,2.0,0.0,6.6
Brad J. Silverman,11.0,0.0,6.1
Jérôme Deschamps,0.0,0.0,2.9
John Waters,0.0,6.260751646153847,6.333333333333333
Barry W. Blaustein,6.0,4.09514,7.6
Marc Forby,3.0,0.09820966666666667,6.2
Marianna Palka,123.0,0.0,6.5
Amanda Gusack,0.0,0.0,6.1
Kent Alterman,3.0,0.6085972727272727,5.8
Patrick Hughes,385.0,0.4365780222222222,6.1
Miranda July,244.0,1.942567,7.4
Takao Okawara,2.0,0.01003739,6.0
Barry Skolnick,0.0,0.0368764,6.5
Simon Wincer,23.0,0.7470757777533662,5.625
Salvador Carrasco,22.0,0.25326,6.8
Richard Wallace,5.0,0.0,6.2
Andrew Jarecki,46.0,0.0,6.3
Wolfgang Becker,31.0,0.8466372916666667,7.7
J Blakeson,5.0,0.9187626842105263,5.2
Dan Zukovic,8.0,0.0,6.9
Jay Oliva,41.0,0.0,8.4
Arie Posin,3.0,0.007283235294117647,7.0
Peter Yates,170.0,0.0,6.0
Carlos Saldanha,107.0,1.874645716413835,6.824999999999999
Álex de la Iglesia,275.0,0.0003607,6.1
Mary McGuckian,6.0,0.0017866666666666667,5.1
Phil Morrison,17.0,0.0,5.6
Jason Reitman,655.0,7.922027984757835,7.2
Jean-Jacques Mantello,0.0,1.253146,6.5
David Bowers,42.0,1.3674621634247743,6.5
Benjamin Roberds,0.0,0.0,6.3
George Hickenlooper,60.0,0.15283137142857142,6.300000000000001
Agnieszka Holland,238.0,0.03207145454545455,6.8
Glen Morgan,17.0,1.0576912676767676,5.35
Martin Brest,102.0,4.662375747751323,6.1000000000000005
Jamie Thraves,2.0,0.0,6.0
Jeff Lowell,4.0,0.756367,5.2
Rick Bieber,11.0,0.06660183333333333,5.7
Edward Norton,0.0,1.2345468,6.4
István Szabó,109.0,0.42994716666666666,7.1
Emilio Estevez,0.0,0.8003213571428571,7.0
Inna Evlannikova,0.0,0.0,5.2
George Stevens,126.0,0.4,6.6
Wes Anderson,0.0,1.5362203653798188,7.628571428571428
Tom Tykwer,670.0,0.5790479917310924,7.220000000000001
Frank Coraci,153.0,1.7140835431277057,5.8999999999999995
Jonathan Glazer,143.0,0.08343138333333333,6.566666666666666
John Murlowski,20.0,0.0,5.8
Roger Vadim,35.0,0.0,5.9
Edward Dmytryk,74.0,0.0,5.5
Keenen Ivory Wayans,322.0,1.8255787842131195,5.175
Tadeo Garcia,5.0,0.0,6.1
Tamra Davis,33.0,2.785994555555556,4.433333333333334
Stanley Tong,7.0,4.311181333333334,6.7
Mary Pat Kelly,3.0,0.0,5.8
Ari Kirschenbaum,0.0,0.0,5.8
Sylvain Chomet,162.0,0.7370794736842106,7.8
Hitoshi Matsumoto,17.0,0.00414,6.1
Stephen Norrington,45.0,1.2038319188034188,6.449999999999999
Don Taylor,11.0,0.0,6.3
Anthony Powell,9.0,0.287761,7.6
Eric Darnell,35.0,1.352391759718167,6.760000000000001
Chris Nahon,20.0,1.47333892,6.6
Jeremy Sims,8.0,0.0,7.1
Nancy Walker,42.0,0.1,4.5
François Girard,63.0,0.9473382,7.7
Stacy Peralta,147.0,0.0,7.800000000000001
Ti West,243.0,0.107589,5.95
Joe Kenemore,0.0,0.0,8.2
Kelly Makin,6.0,0.84660855,5.8
Wilson Yip,25.0,0.05906975,7.2
John Boorman,128.0,0.24984542592592593,5.733333333333334
E. Elias Merhige,54.0,0.6787823402777777,6.4
Joe Cross,65.0,0.0,7.6
Daniel Hsia,0.0,0.0,6.3
Jorge Ramírez Suárez,45.0,0.025103,7.7
Trey Parker,406.0,1.383701203174603,7.066666666666666
Sanjay Rawal,0.0,0.0,7.1
Anthony Hickox,16.0,1.300893,5.3
Mark Mylod,20.0,0.6993741,6.0
D.J. Caruso,154.0,2.044944645833333,6.74
Robert Altman,500.0,1.3959175085769981,6.8
Vicente Amorim,6.0,0.0015394,6.2
Jonathan Liebesman,473.1666666666667,1.6992720987770564,5.699999999999999
James Watkins,43.0,1.597713911764706,6.6
Alex Zamm,43.0,0.0306715,2.3
Conor McPherson,0.0,0.0,6.2
Joel Schumacher,541.0,1.30514250972959,6.407692307692307
Salim Akil,70.0,3.5429812540106953,5.7
Julie Anne Robinson,30.0,1.9034042375,5.55
Alister Grierson,24.0,0.7690015,5.9
Peter Sollett,6.0,2.055736417989418,6.8
Robert Eggers,22.0,7.182369142857143,6.8
Alejandro Amenábar,448.0,1.4730687993697478,7.15
Ben Younger,46.0,2.117272375,7.0
Tom Green,374.0,0.9499336666666667,4.5
Jim Sheridan,260.0,0.8384881446678323,6.300000000000001
Joe Johnston,394.0,1.07387455703149,6.325
Lawrence Kasanoff,11.0,0.0,1.7
Rob Reiner,0.0,2.1153906038553743,7.0181818181818185
Sofia Coppola,0.0,3.1507765330357143,6.925
Ryan Murphy,708.0,0.9529041666666667,5.95
J.C. Chandor,78.0,0.837688191005291,7.0
Sylvio Tabet,0.0,0.1448875,3.8
J.S. Cardone,23.0,1.3510542,5.3
Joshua Michael Stern,0.0,0.7754457142857143,6.1
Jérôme Salle,22.0,0.0,6.7
John Stephenson,0.0,0.0,5.8
Doug Atchison,3.0,0.0,7.5
Ingmar Bergman,0.0,0.0,8.2
Sam Weisman,39.0,1.1694558986928105,5.449999999999999
Franco Zeffirelli,160.0,1.1956769166666668,6.9
Ivan Engler,0.0,0.0,6.2
David Mirkin,7.0,1.1524006857142857,6.2
Gregory Jacobs,13.0,4.460133310810811,5.7
King Vidor,54.0,0.85,7.133333333333334
